"role","download_status","oa_status","oa_url","pdf_path","year","title","source","doi","doi_url","first_author_evidence","corresponding_author_evidence","openalex_id"
"first_author","pdf-needed","green","https://researchrepository.murdoch.edu.au/id/eprint/48746/","data/pdfs/2008-singaporean-and-taiwanese-pre-service-teachers-beliefs-and-their-attitude-towards-ic-https_openalex_org_W2956377435.pdf","2008","Singaporean and Taiwanese pre-service teachers' beliefs and their attitude towards ICT: A comparative study","Murdoch Research Repository (Murdoch University)","","","Ching Sing Chai","","https://openalex.org/W2956377435"
"first_author","pdf-needed","","","data/pdfs/2007-teachers-eb-and-its-influences-on-their-online-interaction-patterns-https_openalex_org_W154034741.pdf","2007","Teachers' EB and its Influences on their Online Interaction Patterns","","","","Ching Sing Chai","","https://openalex.org/W154034741"
"first_and_corresponding","pdf-needed","","","data/pdfs/2006-epistemological-beliefs-on-teaching-and-learning-a-survey-among-pre-service-teachers-10_1080_09523980600926242.pdf","2006","Epistemological beliefs on teaching and learning: a survey among pre‐service teachers in Singapore","Educational Media International","10.1080/09523980600926242","https://doi.org/10.1080/09523980600926242","Ching Sing Chai","OpenAlex marks Ching Sing Chai as corresponding author.","https://openalex.org/W1979923497"
"first_and_corresponding","pdf-needed","","","data/pdfs/2006-teachers-perceptions-of-teaching-and-learning-in-a-knowledge-building-community-an-e-10_1080_17439880600756670.pdf","2006","Teachers’ perceptions of teaching and learning in a knowledge‐building community: an exploratory case study","Learning Media and Technology","10.1080/17439880600756670","https://doi.org/10.1080/17439880600756670","Ching Sing Chai","OpenAlex marks Ching Sing Chai as corresponding author.","https://openalex.org/W2139827376"
"first_author","pdf-needed","","","data/pdfs/2006-computer-supported-collaborative-learning-for-knowledge-creation-10_1142_9789812774651_0024.pdf","2006","COMPUTER-SUPPORTED COLLABORATIVE LEARNING FOR KNOWLEDGE CREATION","WORLD SCIENTIFIC eBooks","10.1142/9789812774651_0024","https://doi.org/10.1142/9789812774651_0024","Ching Sing Chai","","https://openalex.org/W2497617928"
"first_author","pdf-needed","green","http://www.ifets.info/journals/9_1/20.pdf","data/pdfs/2006-an-analysis-of-interaction-and-participation-patterns-in-online-community-https_openalex_org_W2111972787.pdf","2006","An Analysis of Interaction and Participation Patterns in Online Community","Educational Technology & Society","","","Ching Sing Chai","","https://openalex.org/W2111972787"
"first_and_corresponding","pdf-needed","green","https://figshare.com/articles/thesis/Teachers_professional_development_in_a_computer-supported_collaborative_learning_environment_a_descriptive_and_interpretive_enquiry/10169804","data/pdfs/2006-teachers-professional-development-in-a-computer-supported-collaborative-learning-env-https_openalex_org_W2561905813.pdf","2006","Teachers' professional development in a computer-supported collaborative learning environment : a descriptive and interpretive enquiry","Figshare","","","Ching Sing Chai","OpenAlex marks Ching Sing Chai as corresponding author.","https://openalex.org/W2561905813"
"first_author","pdf-needed","","","data/pdfs/2005-fostering-learning-communities-among-teachers-and-students-potentials-and-issues-https_openalex_org_W103249724.pdf","2005","Fostering Learning Communities among Teachers and Students: Potentials and Issues","","","","Ching Sing Chai","","https://openalex.org/W103249724"
"first_author","pdf-needed","","","data/pdfs/2004-a-review-on-usability-evaluation-methods-for-instructional-multimedia-an-analytical--https_openalex_org_W1502716667.pdf","2004","A Review on Usability Evaluation Methods for Instructional Multimedia: An Analytical Framework","International journal of instructional media","","","Ching Sing Chai","","https://openalex.org/W1502716667"
"first_author","pdf-needed","","","data/pdfs/2003-constructing-knowledge-building-communities-in-classrooms-https_openalex_org_W2264892192.pdf","2003","Constructing knowledge building communities in classrooms","","","","Ching Sing Chai","","https://openalex.org/W2264892192"
"first_and_corresponding","pdf-needed","","","data/pdfs/2001-the-usability-of-the-justice-bao-instructional-game-an-interface-evaluation-https_openalex_org_W2286414596.pdf","2001","The usability of the Justice Bao Instructional Game : an interface evaluation","DR-NTU (Nanyang Technological University)","","","Ching Sing Chai","OpenAlex marks Ching Sing Chai as corresponding author.","https://openalex.org/W2286414596"
